time_ms,distance_mm,ring_z,obstacle_z,node_z,near_pass_index
16,19,-9.124444444444444,-19.79111111111111,-27.79111111111111,0
1008,1210,-6.477777777777778,-17.144444444444446,-25.144444444444446,2
2000,2400,-3.833333333333333,-14.5,-22.5,3
3008,3610,-1.1444444444444444,-11.811111111111112,-19.81111111111111,5
4000,4800,1.5,-9.166666666666666,-17.166666666666668,7
5008,6010,4.188888888888889,-6.477777777777778,-14.477777777777778,8
6000,7200,6.833333333333333,-3.833333333333333,-11.833333333333334,10
7008,8410,9.522222222222222,-1.1444444444444444,-9.144444444444444,12
8000,9600,12.166666666666666,1.5,-6.5,13
9008,10810,14.855555555555556,4.188888888888889,-3.811111111111111,15
10000,12000,17.5,6.833333333333333,-1.1666666666666665,17
11008,13210,20.18888888888889,9.522222222222222,1.5222222222222221,18
12000,14400,22.833333333333332,12.166666666666666,4.166666666666666,20
13008,15610,25.522222222222222,14.855555555555556,6.855555555555555,22
14000,16800,28.166666666666668,17.5,9.5,23
15000,18000,30.833333333333332,20.166666666666668,12.166666666666666,25
