time_ms,area_px2
16,12995
48,13224
80,13340
128,13688
160,13923
208,14399
240,14640
288,14883
320,15128
368,15624
400,15875
448,16254
480,16510
528,16899
560,17290
608,17688
640,18088
688,18495
720,18904
768,19320
800,19738
848,20160
880,20590
928,21168
960,21460
1008,22050
1040,22496
1088,23100
1120,23405
1168,24021
1200,24645
1248,25277
1280,25596
1328,26400
1360,26892
1408,27552
1440,28050
1488,28724
1520,29406
1568,30096
1600,30794
1648,31675
1680,32214
1728,33115
1760,33847
1808,34770
1840,35335
1888,36472
1920,37044
1968,38208
2000,38994
2048,40188
2080,40994
2128,42009
2160,42833
2208,44290
2240,45136
2288,46420
2320,47499
2368,49042
2400,49932
2448,51504
2480,52416
