FrameID,Game,Source,SourceKind,TimecodeOrFrame,PlayerBox,VanishingPoint,RouteCorridor,GoalLandmark,HazardSilhouette,DepthLayers,LuminanceHierarchy,MaterialIdentity,AttentionEffect,UISafeArea,Observed,Inference,TestableHypothesis,Rights
F01,Journey,https://www.playstation.com/en-us/games/journey/,Official,Official hero image,"x58-64 y65-95; height 23%; area 2.1%","50% 34%","central 40%; dune ridge slopes inward","summit structure x63 y28","none in selected still","near traveler and sand; mid dune; far summit and cloud","dark traveler; mid dune; bright sky","cloth silhouette and granular sand remain distinct","scarf points left while summit breaks ridge","top 12% and outer 8% remain clear","A dark traveler stands beneath a ridge with a small summit structure isolated against the sky.","Terrain slope plus skyline interruption establishes a readable destination without UI.","Holding a comparable landmark inside the central 40% for three seconds produces at least 80% direction recognition.","URL/frame locator only; no external media stored"
F02,Star Fox Zero,https://www.youtube.com/watch?v=kexWqX34E7w,Official,02:20,"x43-57 y43-70; height 17%; area 1.6%","52% 45%","central 46%; corridor walls converge inward","green lock target near x52 y25","wall blocks and target craft; TTC not measured by this corpus","near wall blocks; mid Arwing; far target","white-blue player glow; green target; dark walls","metal hull separates from emissive target and concrete-like wall","target box and green projectile lines lead gaze forward","top corners carry HUD; center-bottom remains readable","The Arwing remains lower-center while wall blocks and a green target align toward the vanishing axis.","Stable player placement may let rapid near geometry carry speed without losing the controlled craft.","A future moving candidate will test TTC at or above 0.8s with stable player placement against 80% hazard identification.","Official URL/timecode only; no external media stored"
F03,Star Fox Zero,https://www.youtube.com/watch?v=kexWqX34E7w,Official,02:40,"x39-54 y48-70; height 16%; area 1.4%","50% 43%","central 48%; boss deck narrows toward center","green reticle x51 y48","boss deck edges and crossing beam; TTC not measured by this corpus","near beam; mid deck; far planet and debris","bright magenta beam; green accents; dark red hull","player metal; boss plating; emissive beam separate by hue and edge","beam crosses route while reticle remains centered","top status bars occupy 10%; lower center clear","A large boss platform fills the near field while the reticle and player remain near the central travel axis.","Large near threats may coexist with route legibility when reticle player and goal retain separate contrast roles.","Separating hazard hue from goal hue will be tested against 80% correct hazard-versus-goal classification.","Official URL/timecode only; no external media stored"
F04,Space Harrier,https://segaages.sega.com/project/space-harrier/index.htm,Official,Official screenshot 2,"x12-22 y37-70; height 26%; area 2.8%","50% 53%","ground grid spans 62% at player depth","central orb x51 y63","large ships above and right; estimated TTC 0.7s","near Harrier and shadows; mid orb; far towers and horizon","bright sky; mid-value grid; dark player and ships","sprite classes separated by silhouette rather than surface material","scaling threats and grid convergence indicate forward motion","top score band 12%; lower corners clear","Harrier sits left while a tiled ground plane and scaling objects converge on the center horizon.","The route remains readable because optic-flow geometry has one unambiguous vanishing point.","Adding a visible flow corridor wider than 50% improves direction recognition over the current EARTH frame.","URL/frame locator only; no external media stored"
F05,Space Harrier,https://segaages.sega.com/project/space-harrier/index.htm,Official,Official screenshot 3,"x13-24 y44-78; height 27%; area 3.0%","51% 55%","ground band spans 58%; pillars reinforce depth","center fireball x52 y62","fireballs and stone heads; nearest fireball estimated TTC 0.8s","near player and fireball; mid pillars; far horizon","orange hazard peaks; cyan sky; dark player","hazard and route classes separated by outline and hue","repeated fireballs form an approach rhythm","top score band 12%; lower route open","The player and hazards occupy different lateral bands while repeated pillars converge toward the center.","Lateral separation plus repetition provides both avoidance direction and speed scale.","Keeping the nearest hazard outside the player box until TTC 0.8s yields at least 80% avoidance-side recognition.","URL/frame locator only; no external media stored"
F06,Rez Infinite,https://www.playstation.com/en-in/games/rez-infinite/,Official,Official screenshot Area 1 boss,"x44-55 y59-84; height 12%; area 1.0%","50% 47%","wireframe tunnel central 34%","lock-on box x51 y47","boss rings and projectiles; TTC not measurable from still","near player; mid boss rings; far code wall","white player; green-red action peaks; dark space","wireframe environment and emissive action remain visually distinct","lock box and radial lines converge on one target","outer 10% and lower 8% clear","A central lock box sits inside layered rings while bright action lines connect the player and target.","One target axis can synchronize spatial direction and causal feedback.","Pulse onset below 150ms followed by a distinct peak and recovery yields at least 80% causality recognition.","URL/frame locator only; no external media stored"
F07,Rez Infinite,https://www.playstation.com/en-in/games/rez-infinite/,Official,Official screenshot Area 3 enemy,"x46-54 y62-84; height 11%; area 0.8%","50% 45%","wireframe corridor central 36%","pink lock target x54 y42","two flanking red targets; TTC not measurable from still","near player grid; mid target; far tunnel","pink target highest local contrast; green grid; black void","player and targets separated by silhouette and emissive color","rectangular lock brackets separate the target from the dense grid","outer 10% and bottom 8% clear","The target remains readable against a dense green tunnel because its pink silhouette and brackets are unique.","Color-independent brackets are required so the cue survives reduced chroma and high-contrast modes.","Adding a geometric bracket to the Pulse target yields at least 80% target identification in grayscale.","URL/frame locator only; no external media stored"
F08,ABZU,https://505games.com/games/abzu/,Official,Official screenshot 1,"x8-20 y43-83; height 18%; area 1.4%","54% 42%","fish opening spans central 55%","bright water opening x54 y21","dense fish silhouettes; no collision hazard indicated","near diver and large fish; mid school; far light opening","bright opening; pale school; dark diver","diver suit fish bodies and water volume separate by edge and value","school flow arcs toward the light opening","top 10% bright but uncluttered; lower right clear","The diver is dark against a pale fish vortex that opens toward a bright distant water volume.","Living flow can indicate route while preserving three explicit depth bands.","Three biological depth bands plus player area above 1% yields at least 80% protagonist and direction recognition.","URL/frame locator only; no external media stored"
F09,ABZU,https://505games.com/games/abzu/,Official,Official screenshot 2,"x44-51 y42-69; height 14%; area 1.0%","50% 38%","school corridor spans 58%","bright surface x50 y14","rays and sharks read as fauna not immediate hazards","near rays; mid diver; far fish and surface","bright surface; mid-blue water; dark silhouettes","species identities separated by silhouette scale and motion pose","animal flow lines converge upward and forward","top 8% is destination; side margins hold fauna","The diver remains near center while multiple species occupy distinct scales around an upward opening.","Scale contrast can convey abundance without masking the player if silhouettes do not overlap the player box.","Keeping the player box free of large-fauna overlap yields at least 80% protagonist recognition.","URL/frame locator only; no external media stored"
F10,ABZU,https://505games.com/games/abzu/,Official,Official screenshot 3,"x45-49 y48-61; height 6%; area 0.4%","50% 39%","open water central 52%","sunlit surface x53 y24","whale body dominates upper-right; not framed as hazard","near whale tail; mid diver and school; far surface","sun glint; pale whale belly; blue water; dark diver","whale mass and diver suit retain separate scale silhouettes","whale establishes scale while bubbles lead toward surface","top center glint occupies 8%; lower center clear","A whale dominates the frame while the much smaller diver remains visible through value and silhouette separation.","Very small player area can remain legible when the background is uncluttered and player contrast is unique.","Below 0.5% player area fails recognition unless a unique contrast outline is present.","URL/frame locator only; no external media stored"
